model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
chai1,T1272s2,3,111.13109829560806,18.76780345958079,0.16887985224134602,100.204984512995,132.80203829682432,111.13109829560806,18.76780345958079,0.16887985224134602,False
chai1,T1272s5,3,110.94834534536251,18.608958630370836,0.16772632861215234,100.0106599360006,132.43494756007567,110.94834534536251,18.608958630370836,0.16772632861215234,False
chai1,T1137s9,3,110.72902143361232,18.499648221245838,0.1670713601703535,99.91135983500136,132.0899879038334,110.72902143361232,18.499648221245838,0.1670713601703535,False
chai1,T1106s1,3,81.06113329601673,13.42838488008029,0.16565750235742324,73.14444401899891,96.56573462905362,81.06113329601673,13.42838488008029,0.16565750235742324,False
chai1,T1185s2,3,111.03922700104158,18.289498353538065,0.16471204679195492,100.414738251995,132.1579867771361,111.03922700104158,18.289498353538065,0.16471204679195492,False
chai1,T1272s3,3,110.71222154438631,18.189728772173073,0.16429738757324563,100.12268317501002,131.71566637814976,110.71222154438631,18.189728772173073,0.16429738757324563,False
chai1,T1137s8,3,110.38687630067095,17.99146078218055,0.16298550502666226,99.88055528599944,131.16116998600774,110.38687630067095,17.99146078218055,0.16298550502666226,False
esmfold,T1137s6,3,84.79129297399534,13.671365391384056,0.16123548670943053,76.80629357099679,100.57726841699332,84.79129297399534,13.671365391384056,0.16123548670943053,False
chai1,T1266,3,110.55709379167335,17.717532332364335,0.16025685665860673,100.2259520689986,131.01519828801975,110.55709379167335,17.717532332364335,0.16025685665860673,False
chai1,T1104,3,83.48474457495588,13.235933472974388,0.1585431391131663,75.66499099000066,98.76689138286748,83.48474457495588,13.235933472974388,0.1585431391131663,False
esmfold,T1137s3,3,85.06934801802952,13.446121206906332,0.1580607060025495,77.01493250399653,100.5919012920931,85.06934801802952,13.446121206906332,0.1580607060025495,False
chai1,T1134s1,3,80.92787966200073,12.458889467632387,0.15395052384502783,73.50534302499727,95.31170105701312,80.92787966200073,12.458889467632387,0.15395052384502783,False
esmfold,T1157s2,3,77.59742492934795,11.91676112114093,0.15357160539787343,70.43490318800468,91.35379795404153,77.59742492934795,11.91676112114093,0.15357160539787343,False
chai1,T1120,3,80.70162221202554,12.210178497070817,0.15130028569923035,73.58518177199949,94.80050965608098,80.70162221202554,12.210178497070817,0.15130028569923035,False
